EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
237418;0;UR;1201;Altdorf (UR);Gründligasse;23;6460;0;Altdorf UR;2691966.455;1192311.01;de
237419;0;UR;1201;Altdorf (UR);Kreuzgasse;1;6460;0;Altdorf UR;2692039.877;1192485.832;de
237420;0;UR;1201;Altdorf (UR);Kreuzgasse;3;6460;0;Altdorf UR;2692017.852;1192460.333;de
237421;0;UR;1201;Altdorf (UR);Kreuzgasse;7;6460;0;Altdorf UR;2691992.791;1192416.49;de
237422;0;UR;1201;Altdorf (UR);Kreuzgasse;12;6460;0;Altdorf UR;2691971.864;1192418.068;de
237424;0;UR;1201;Altdorf (UR);Gründligasse;27;6460;0;Altdorf UR;2691921.091;1192316.599;de
237425;0;UR;1201;Altdorf (UR);Gründligasse;29;6460;0;Altdorf UR;2691901.557;1192285.663;de
237426;0;UR;1201;Altdorf (UR);Gründligasse;31;6460;0;Altdorf UR;2691886.707;1192253.37;de
237427;0;UR;1201;Altdorf (UR);Gründligasse;33;6460;0;Altdorf UR;2691881.913;1192236.7;de
237428;0;UR;1201;Altdorf (UR);Gründligasse;34;6460;0;Altdorf UR;2691767.297;1192282.036;de
237429;0;UR;1201;Altdorf (UR);Gründligasse;35;6460;0;Altdorf UR;2691869.117;1192220.169;de
237430;0;UR;1201;Altdorf (UR);Gründligasse;37;6460;0;Altdorf UR;2691855.329;1192197.099;de
237431;0;UR;1201;Altdorf (UR);Gründligasse;39;6460;0;Altdorf UR;2691847.11;1192174.559;de
237432;0;UR;1201;Altdorf (UR);Gründligasse;41;6460;0;Altdorf UR;2691830.711;1192158.024;de
237433;0;UR;1201;Altdorf (UR);Gründligasse;43;6460;0;Altdorf UR;2691815.644;1192139.999;de
237434;0;UR;1201;Altdorf (UR);Gründligasse;45;6460;0;Altdorf UR;2691799.822;1192123.647;de
237435;0;UR;1201;Altdorf (UR);Gründligasse;47;6460;0;Altdorf UR;2691786.653;1192103.583;de
237436;0;UR;1201;Altdorf (UR);Gründligasse;52;6460;0;Altdorf UR;2691729.249;1192076.388;de
237437;0;UR;1201;Altdorf (UR);Allenwindenweg;9;6460;0;Altdorf UR;2691717.535;1192158.117;de
237438;0;UR;1201;Altdorf (UR);Allenwindenweg;13;6460;0;Altdorf UR;2691706.31;1192177.385;de
237439;0;UR;1201;Altdorf (UR);Allenwindenweg;15;6460;0;Altdorf UR;2691678.114;1192153.078;de
237440;0;UR;1201;Altdorf (UR);Allenwindenweg;17;6460;0;Altdorf UR;2691690.931;1192195.681;de
237441;0;UR;1201;Altdorf (UR);Allenwindenweg;19;6460;0;Altdorf UR;2691667.066;1192180.92;de
237442;0;UR;1201;Altdorf (UR);Allenwindenweg;21;6460;0;Altdorf UR;2691673.254;1192218.75;de
237443;0;UR;1201;Altdorf (UR);Allenwindenweg;23;6460;0;Altdorf UR;2691654.161;1192200.276;de
237444;0;UR;1201;Altdorf (UR);Gründliweg;2;6460;0;Altdorf UR;2691904.561;1192245.802;de
237445;0;UR;1201;Altdorf (UR);Gründliweg;4;6460;0;Altdorf UR;2691925.421;1192231.483;de
237446;0;UR;1201;Altdorf (UR);Frohmattweg;1;6460;0;Altdorf UR;2692142.439;1192302.992;de
237447;0;UR;1201;Altdorf (UR);Frohmattweg;2;6460;0;Altdorf UR;2692126.106;1192301.222;de
237448;0;UR;1201;Altdorf (UR);Frohmattweg;3;6460;0;Altdorf UR;2692163.262;1192308.436;de
237449;0;UR;1201;Altdorf (UR);Frohmattweg;4;6460;0;Altdorf UR;2692156.865;1192286.66;de
237450;0;UR;1201;Altdorf (UR);Frohmattweg;5;6460;0;Altdorf UR;2692180.955;1192297.004;de
237451;0;UR;1201;Altdorf (UR);Frohmattweg;6;6460;0;Altdorf UR;2692176.191;1192273.731;de
237452;0;UR;1201;Altdorf (UR);Frohmattweg;7;6460;0;Altdorf UR;2692208.992;1192275.093;de
237453;0;UR;1201;Altdorf (UR);Frohmattweg;8;6460;0;Altdorf UR;2692199.328;1192261.481;de
237454;0;UR;1201;Altdorf (UR);Frohmattweg;9;6460;0;Altdorf UR;2692239.342;1192265.975;de
237455;0;UR;1201;Altdorf (UR);Frohmattweg;10;6460;0;Altdorf UR;2692227.365;1192245.833;de
237456;0;UR;1201;Altdorf (UR);Frohmattweg;13;6460;0;Altdorf UR;2692309.842;1192217.526;de
237458;0;UR;1201;Altdorf (UR);Erikaweg;1;6460;0;Altdorf UR;2692248.523;1192229.469;de
237459;0;UR;1201;Altdorf (UR);Erikaweg;2;6460;0;Altdorf UR;2692241.511;1192210.064;de
237460;0;UR;1201;Altdorf (UR);Erikaweg;3;6460;0;Altdorf UR;2692254.664;1192202.726;de
237461;0;UR;1201;Altdorf (UR);Grundweg;1;6460;0;Altdorf UR;2692211.032;1192226.096;de
237462;0;UR;1201;Altdorf (UR);Grundweg;2;6460;0;Altdorf UR;2692185.109;1192231.483;de
237463;0;UR;1201;Altdorf (UR);Grundweg;3;6460;0;Altdorf UR;2692217.837;1192194.249;de
237464;0;UR;1201;Altdorf (UR);Grundweg;4;6460;0;Altdorf UR;2692192.385;1192196.154;de
237465;0;UR;1201;Altdorf (UR);Blumenfeldgasse;1;6460;0;Altdorf UR;2692332.977;1192163.358;de
237466;0;UR;1201;Altdorf (UR);Blumenfeldgasse;2;6460;0;Altdorf UR;2692320.593;1192189.216;de
237467;0;UR;1201;Altdorf (UR);Blumenfeldgasse;3;6460;0;Altdorf UR;2692313.787;1192164.447;de
237468;0;UR;1201;Altdorf (UR);Blumenfeldgasse;4;6460;0;Altdorf UR;2692299.089;1192184.861;de
237469;0;UR;1201;Altdorf (UR);Blumenfeldgasse;5;6460;0;Altdorf UR;2692285.207;1192159.546;de
237470;0;UR;1201;Altdorf (UR);Blumenfeldgasse;7;6460;0;Altdorf UR;2692334.385;1192143.672;de
237471;0;UR;1201;Altdorf (UR);Blumenfeldgasse;9;6460;0;Altdorf UR;2692313.923;1192140.084;de
237472;0;UR;1201;Altdorf (UR);Blumenfeldgasse;11;6460;0;Altdorf UR;2692292.923;1192131.007;de
237473;0;UR;1201;Altdorf (UR);Blumenfeldgasse;13;6460;0;Altdorf UR;2692351.214;1192113.818;de
237474;0;UR;1201;Altdorf (UR);Blumenfeldgasse;6;6460;0;Altdorf UR;2692271.733;1192181.049;de
237475;0;UR;1201;Altdorf (UR);Blumenfeldgasse;8;6460;0;Altdorf UR;2692251.046;1192175.061;de
237476;0;UR;1201;Altdorf (UR);Blumenfeldgasse;10;6460;0;Altdorf UR;2692221.511;1192172.201;de
237477;0;UR;1201;Altdorf (UR);Blumenfeldgasse;12;6460;0;Altdorf UR;2692194.779;1192165.562;de
237478;0;UR;1201;Altdorf (UR);Blumenfeldgasse;15;6460;0;Altdorf UR;2692324.811;1192090.544;de
237479;0;UR;1201;Altdorf (UR);Blumenfeldgasse;17;6460;0;Altdorf UR;2692289.561;1192098.981;de
237480;0;UR;1201;Altdorf (UR);Blumenfeldgasse;19;6460;0;Altdorf UR;2692243.32;1192151.368;de
237481;0;UR;1201;Altdorf (UR);Blumenfeldgasse;21;6460;0;Altdorf UR;2692246.7;1192118.726;de
237482;0;UR;1201;Altdorf (UR);Blumenfeldgasse;23;6460;0;Altdorf UR;2692252.844;1192100.573;de
237483;0;UR;1201;Altdorf (UR);Blumenfeldgasse;25;6460;0;Altdorf UR;2692241.091;1192080.265;de
237484;0;UR;1201;Altdorf (UR);Blumenfeldgasse;27;6460;0;Altdorf UR;2692200.141;1192131.601;de
237485;0;UR;1201;Altdorf (UR);Blumenfeldgasse;29;6460;0;Altdorf UR;2692206.739;1192085.682;de
237486;0;UR;1201;Altdorf (UR);Blumenfeldgasse;31;6460;0;Altdorf UR;2692165.269;1192127.509;de
237487;0;UR;1201;Altdorf (UR);Pfistergasse;1;6460;0;Altdorf UR;2692125.153;1192279.99;de
237488;0;UR;1201;Altdorf (UR);Pfistergasse;4;6460;0;Altdorf UR;2692098.477;1192271.144;de
237489;0;UR;1201;Altdorf (UR);Pfistergasse;5;6460;0;Altdorf UR;2692141.621;1192229.634;de
237490;0;UR;1201;Altdorf (UR);Pfistergasse;6;6460;0;Altdorf UR;2692072.754;1192273.729;de
237491;0;UR;1201;Altdorf (UR);Pfistergasse;7;6460;0;Altdorf UR;2692144.886;1192204.999;de
237492;0;UR;1201;Altdorf (UR);Pfistergasse;9;6460;0;Altdorf UR;2692160.538;1192185.401;de
237493;0;UR;1201;Altdorf (UR);Pfistergasse;10;6460;0;Altdorf UR;2692079.559;1192251.545;de
237494;0;UR;1201;Altdorf (UR);Pfistergasse;10a;6460;0;Altdorf UR;2692083.778;1192245.42;de
237495;0;UR;1201;Altdorf (UR);Pfistergasse;11;6460;0;Altdorf UR;2692165.549;1192162.232;de
237496;0;UR;1201;Altdorf (UR);Pfistergasse;12;6460;0;Altdorf UR;2692111.295;1192247.23;de
237497;0;UR;1201;Altdorf (UR);Pfistergasse;13;6460;0;Altdorf UR;2692163.109;1192084.55;de
237498;0;UR;1201;Altdorf (UR);Pfistergasse;14;6460;0;Altdorf UR;2692120.164;1192225.235;de
237499;0;UR;1201;Altdorf (UR);Pfistergasse;20;6460;0;Altdorf UR;2692107.323;1192176.826;de
237500;0;UR;1201;Altdorf (UR);Grenzgasse;8;6460;0;Altdorf UR;2691943.449;1192035.868;de
