EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
101398635;0;NE;6461;La Tène;Rue Paul-Vouga;123;2074;0;Marin-Epagnier;2567702.589;1206397.82;fr
101398636;0;NE;6461;La Tène;Rue Paul-Vouga;125;2074;0;Marin-Epagnier;2567702.589;1206403.024;fr
101398637;0;NE;6461;La Tène;Rue Paul-Vouga;127;2074;0;Marin-Epagnier;2567688.616;1206431.555;fr
101398638;0;NE;6461;La Tène;Rue Paul-Vouga;129;2074;0;Marin-Epagnier;2567683.686;1206431.551;fr
101398639;0;NE;6461;La Tène;Rue Paul-Vouga;131;2074;0;Marin-Epagnier;2567678.465;1206431.448;fr
101398640;0;NE;6461;La Tène;Rue Paul-Vouga;133;2074;0;Marin-Epagnier;2567673.635;1206430.543;fr
101398641;0;NE;6461;La Tène;Rue Paul-Vouga;135;2074;0;Marin-Epagnier;2567668.655;1206430.536;fr
101398642;0;NE;6461;La Tène;Rue Paul-Vouga;137;2074;0;Marin-Epagnier;2567663.635;1206430.529;fr
101398643;0;NE;6461;La Tène;Rue Paul-Vouga;139;2074;0;Marin-Epagnier;2567657.203;1206440.226;fr
101398644;0;NE;6461;La Tène;Rue Paul-Vouga;141;2074;0;Marin-Epagnier;2567657.199;1206444.747;fr
101398645;0;NE;6461;La Tène;Rue Paul-Vouga;143;2074;0;Marin-Epagnier;2567656.197;1206450.497;fr
101398646;0;NE;6461;La Tène;Rue Paul-Vouga;145;2074;0;Marin-Epagnier;2567656.197;1206455.008;fr
101398647;0;NE;6461;La Tène;Rue Paul-Vouga;163;2074;0;Marin-Epagnier;2567719.772;1206473.61;fr
101398648;0;NE;6461;La Tène;Rue Paul-Vouga;165;2074;0;Marin-Epagnier;2567724.972;1206473.611;fr
101398649;0;NE;6461;La Tène;Rue Paul-Vouga;167;2074;0;Marin-Epagnier;2567729.843;1206473.611;fr
101398650;0;NE;6461;La Tène;Rue de Foinreuse;9;2074;0;Marin-Epagnier;2566643.383;1206450.013;fr
101398651;0;NE;6461;La Tène;Rue de Foinreuse;11;2074;0;Marin-Epagnier;2566669.45;1206480.908;fr
101398767;0;NE;6458;Neuchâtel;Rue de Sainte-Hélène;37;2000;0;Neuchâtel;2563514.882;1206494.338;fr
101398779;0;NE;6458;Neuchâtel;Avenue du Mail;10;2000;0;Neuchâtel;2562843.063;1205323.881;fr
101400404;0;NE;6487;Val-de-Ruz;Chemin du Tombet;9;2057;0;Villiers;2564559.738;1213984.416;fr
101400405;0;NE;6487;Val-de-Ruz;Chemin des Grillons;8;2057;0;Villiers;2564484.188;1214008.032;fr
101400406;0;NE;6487;Val-de-Ruz;Chemin des Grillons;6;2057;0;Villiers;2564505.741;1214019.617;fr
101400407;0;NE;6487;Val-de-Ruz;Chemin des Grillons;7;2057;0;Villiers;2564461.459;1213971.598;fr
101400408;0;NE;6487;Val-de-Ruz;Chemin des Grillons;9;2057;0;Villiers;2564436.689;1213953.829;fr
101400409;0;NE;6487;Val-de-Ruz;Chemin des Grillons;2;2057;0;Villiers;2564558.282;1214037.422;fr
101400410;0;NE;6487;Val-de-Ruz;Chemin du Tombet;7;2057;0;Villiers;2564543.833;1213965.394;fr
101400411;0;NE;6487;Val-de-Ruz;Chemin des Grillons;14;2057;0;Villiers;2564421.054;1213982.032;fr
101400412;0;NE;6487;Val-de-Ruz;Chemin des Grillons;15;2057;0;Villiers;2564462.051;1213934.886;fr
101400413;0;NE;6487;Val-de-Ruz;Chemin des Grillons;10;2057;0;Villiers;2564459.511;1214003.811;fr
101400414;0;NE;6487;Val-de-Ruz;Chemin des Grillons;13;2057;0;Villiers;2564490.002;1213952.259;fr
101400415;0;NE;6487;Val-de-Ruz;Chemin des Grillons;12;2057;0;Villiers;2564447.372;1213984.065;fr
101400417;0;NE;6487;Val-de-Ruz;Rue du Grandverger;12;2057;0;Villiers;2564377.129;1213932.415;fr
