EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
191535067;0;AI;3101;Appenzell;Hundgalgen;22a;9050;0;Appenzell;2749228.012;1243336.967;de
191535068;0;AI;3101;Appenzell;Hundgalgen;27a;9050;0;Appenzell;2749224.659;1243414.552;de
191535069;0;AI;3101;Appenzell;Zielstrasse;36b;9050;0;Appenzell;2748985.724;1244450.905;de
191535070;0;AI;3101;Appenzell;Zielstrasse;36c;9050;0;Appenzell;2749017.56;1244458.941;de
191535071;0;AI;3101;Appenzell;Mettlenmühle;3b;9050;0;Appenzell;2748571.805;1244625.561;de
191535072;0;AI;3101;Appenzell;Mettlenmühle;3a;9050;0;Appenzell;2748584.274;1244626.737;de
191535073;0;AI;3101;Appenzell;Mettlenmühle;2b;9050;0;Appenzell;2748605.45;1244627.561;de
191535074;0;AI;3101;Appenzell;Mettlenmühle;2a;9050;0;Appenzell;2748618.039;1244628.561;de
191535075;0;AI;3101;Appenzell;Brenden;33a;9050;5;Appenzell Meistersrüte;2750163.054;1247024.807;de
191535076;0;AI;3101;Appenzell;Wührestrasse;15a;9050;0;Appenzell;2748757.077;1243715.64;de
191535077;0;AI;3101;Appenzell;Güetlistrasse;23a;9050;0;Appenzell;2748517.303;1244959.926;de
191535078;0;AI;3101;Appenzell;Langweid;4a;9050;0;Appenzell;2746878.987;1243341.342;de
191535079;0;AI;3101;Appenzell;Hundgalgen;32a;9050;0;Appenzell;2749198.454;1243433.51;de
191535080;0;AI;3101;Appenzell;Bödeli;1a;9050;0;Appenzell;2749111.785;1244767.818;de
191535081;0;AI;3101;Appenzell;Langweid;10a;9050;0;Appenzell;2746828.265;1243368.044;de
191535082;0;AI;3101;Appenzell;Riedstrasse;38a;9050;0;Appenzell;2748626.295;1243674.891;de
191535083;0;AI;3101;Appenzell;Rinkenbach;3a;9050;0;Appenzell;2748485.937;1244160.875;de
191535084;0;AI;3101;Appenzell;Rinkenbach;3b;9050;0;Appenzell;2748483.577;1244149.149;de
191535085;0;AI;3101;Appenzell;Hofwiesweg;5a;9050;0;Appenzell;2748535.866;1244066.187;de
191535086;0;AI;3101;Appenzell;Brenden;21a;9050;5;Appenzell Meistersrüte;2750198.672;1246945.508;de
191535087;0;AI;3101;Appenzell;Nollisweid;71a;9050;5;Appenzell Meistersrüte;2750209.941;1245380.826;de
191535088;0;AI;3101;Appenzell;Nollisweid;71b;9050;5;Appenzell Meistersrüte;2750201.802;1245379.496;de
191535089;0;AI;3101;Appenzell;Jakob Signer-Strasse;3c;9050;0;Appenzell;2748898.911;1243884.931;de
191535090;0;AI;3101;Appenzell;Poststrasse;7d;9050;0;Appenzell;2749005.12;1243924.567;de
191535091;0;AI;3101;Appenzell;Poststrasse;7e;9050;0;Appenzell;2748990.509;1243905.447;de
191535092;0;AI;3101;Appenzell;Gaiserstrasse;3a;9050;0;Appenzell;2749087.922;1244153.247;de
191535093;0;AI;3101;Appenzell;Hauptgasse;49a;9050;0;Appenzell;2748657.451;1244141.337;de
191535094;0;AI;3101;Appenzell;Oberer Gansbach;9;9050;0;Appenzell;2748829.775;1243994.33;de
191535095;0;AI;3101;Appenzell;Mettlenmühle;4d;9050;0;Appenzell;2748518.746;1244615.973;de
191535096;0;AI;3101;Appenzell;Hohe Hirschbergstrasse;11b;9050;5;Appenzell Meistersrüte;2751815.209;1245576.909;de
191535097;0;AI;3101;Appenzell;Bahnhofstrasse;17a;9050;0;Appenzell;2749001.608;1243638.166;de
191535098;0;AI;3101;Appenzell;Sandgrube;8a;9050;0;Appenzell;2748410.405;1244332.492;de
191535099;0;AI;3101;Appenzell;Mendlegatter;14a;9050;5;Appenzell Meistersrüte;2750482.453;1245535.16;de
191535100;0;AI;3101;Appenzell;Wührestrasse;18c;9050;0;Appenzell;2748730.937;1243727.768;de
191535101;0;AI;3101;Appenzell;Güetlistrasse;11a;9050;0;Appenzell;2748646.096;1244853.799;de
191535102;0;AI;3101;Appenzell;Kaustrasse;105;9050;0;Appenzell;2747213.627;1243182.645;de
191535103;0;AI;3101;Appenzell;Rosengärtliweg;14a;9050;0;Appenzell;2748732.632;1243885.76;de
191535104;0;AI;3101;Appenzell;Riedstrasse;64c;9050;0;Appenzell;2748579.41;1243742.429;de
191535105;0;AI;3101;Appenzell;Brenden;41a;9050;5;Appenzell Meistersrüte;2750140.221;1247170.468;de
191535106;0;AI;3101;Appenzell;Güetlistrasse;22a;9050;0;Appenzell;2748696.683;1244954.271;de
191535107;0;AI;3101;Appenzell;Sonnenfeldgässli;8b;9050;0;Appenzell;2748833.056;1243623.156;de
191535108;0;AI;3101;Appenzell;Galgenhang;19a;9050;0;Appenzell;2748716.561;1243456.276;de
191535109;0;AI;3101;Appenzell;Alte Unterrainstrasse;4a;9050;0;Appenzell;2749063.132;1243385.304;de
191535110;0;AI;3101;Appenzell;Mendleweid;1a;9050;5;Appenzell Meistersrüte;2750372.467;1245925.525;de
191535112;0;AI;3101;Appenzell;Hellstrasse;10a;9050;0;Appenzell;2748653.179;1245838.586;de
191535113;0;AI;3101;Appenzell;Riedstrasse;62d;9050;0;Appenzell;2748554.278;1243751.9;de
191535114;0;AI;3101;Appenzell;Haslenstrasse;24a;9050;0;Appenzell;2748460.054;1244968.876;de
191535115;0;AI;3101;Appenzell;Hannebuebes;7a;9050;0;Appenzell;2746744.633;1243131.643;de
191535116;0;AI;3101;Appenzell;Hannebuebes;20a;9050;0;Appenzell;2746670.635;1243197.21;de
191535117;0;AI;3101;Appenzell;Hannebuebes;12a;9050;0;Appenzell;2746594.259;1243260.691;de
191535118;0;AI;3101;Appenzell;Lauftenstrasse;1c;9050;0;Appenzell;2750056.34;1244888.678;de
191535119;0;AI;3101;Appenzell;Burgstockstrasse;7b;9050;5;Appenzell Meistersrüte;2749122.546;1246133.559;de
191535120;0;AI;3101;Appenzell;Spielbrügglistrasse;5b;9050;0;Appenzell;2748547.862;1244867.211;de
191535121;0;AI;3101;Appenzell;Riedstrasse;30a;9050;0;Appenzell;2748757.612;1243633.637;de
191535122;0;AI;3101;Appenzell;Wührestrasse;22a;9050;0;Appenzell;2748690.011;1243716.504;de
191535123;0;AI;3101;Appenzell;Riedstrasse;17b;9050;0;Appenzell;2748849.611;1243670.637;de
191535124;0;AI;3101;Appenzell;Sonnenfeldstrasse;18c;9050;0;Appenzell;2748852.417;1243580.349;de
191535125;0;AI;3101;Appenzell;Bahnhofstrasse;46a;9050;0;Appenzell;2748994.266;1243463.699;de
191535126;0;AI;3101;Appenzell;Sonnenfeldstrasse;2a;9050;0;Appenzell;2748899.311;1243762.485;de
